x,y,value
159,1,0.040585496
160,1,0.059381238
161,1,0.031520293
162,1,0.026197605
163,1,0.035928144
164,1,0.004906853
165,1,0.199434464
166,1,0.040668663
167,1,0.040335995
168,1,0.02661344
169,1,0.61169328
170,1,0.216899534
171,1,0.356287425
172,1,0.107618097
173,1,0.078343313
174,1,0
175,1,0.014304724
176,1,0.040419162
177,1,0.003992016
178,1,0.015469062
179,1,0.06428809
180,1,0.012059215
181,1,0.076596806
182,1,0.006237525
183,1,0.092149035
184,1,0.008566201
185,1,0
186,1,0.202095808
187,1,0.03576181
188,1,0.057967399
189,1,0.017215569
190,1,0.064953426
191,1,0.050066534
192,1,0.004657352
193,1,0.007734531
194,1,0
0,2,0.415940224
1,2,0.149439601
2,2,0.300747198
3,2,0.216687422
4,2,0.217932752
5,2,0.174968867
6,2,0.052926526
7,2,0.077210461
8,2,0.188667497
9,2,0.121419676
10,2,0.123910336
11,2,0.082191781
12,2,0.230386052
13,2,0.142590286
14,2,0.275217933
15,2,0.258405978
16,2,0.100249066
17,2,0.534246575
18,2,0.04234122
19,2,0.106475716
20,2,0.150684932
21,2,0.188044832
22,2,0.125155666
23,2,0.04109589
24,2,0.162515567
25,2,0.03985056
26,2,0.080946451
27,2,0.146326276
28,2,0.266500623
29,2,0.171232877
30,2,0.090909091
31,2,0.529265255
32,2,0.190535492
33,2,0.247198007
34,2,0.053549191
35,2,0.318181818
36,2,0.143212951
37,2,0.198630137
38,2,0.242839352
39,2,0.280199253
40,2,0.311955168
41,2,0.099003736
42,2,0.047945205
43,2,0.182440847
44,2,0.163138232
45,2,0.133250311
46,2,0.04483188
47,2,0.377334994
48,2,0.107721046
49,2,0.0124533
50,2,0.195516812
51,2,0.219178082
52,2,0.145080946
53,2,0.186799502
54,2,0.267745953
55,2,0.290784558
56,2,0.123287671
57,2,0.045454545
58,2,0.087173101
59,2,0.138854296
60,2,0.252179328
61,2,0.171855542
62,2,0.065379826
63,2,0.096513076
64,2,0.199252802
65,2,0.211706102
66,2,0.156288917
67,2,0.288293898
68,2,0.216687422
69,2,0.280821918
70,2,0.326899128
71,2,0.227895392
72,2,0.189912827
73,2,0.173100872
74,2,0.203611457
75,2,0.315691158
76,2,0.225404732
77,2,0.127646326
78,2,0.082814446
79,2,0.246575342
80,2,0.227895392
81,2,0.076587796
82,2,0.093399751
83,2,0.160647572
84,2,0.04358655
85,2,0.192403487
86,2,0.092154421
87,2,0
88,2,0.133250311
89,2,0.206102117
90,2,0.340597758
91,2,0.425902864
92,2,0.275217933
93,2,0.292652553
94,2,0.409713574
95,2,0.292652553
96,2,0.54483188
97,2,0.513075965
98,2,0.435865504
99,2,0.577210461
100,2,0.115815691
101,2,0.346824408
102,2,0.4750934
103,2,0.51494396
104,2,0.367995019
105,2,0.785803238
106,2,0.569115816
107,2,1
108,2,0.753424658
109,2,0.315691158
110,2,0.270236613
111,2,0.648816936
